city,company_name,contact_person,designation,email,fax,mobile,phone,pincode,state,street_Address,website
THIRUVANANTHAPURAM,JAYASREE TRAVELS & TOURS COMPANY,MR. VIKRAMAN K.S.,MANAGING DIRECTOR,tours@jayasreetravels.com,,.,"0471-2743603, 2741603",,KERALA,"P.O. BOX NO.5236, PETTAH",www.jayasreetravels.com
NEW DELHI,Jaypee Group of Hotels  Hotel Vasant Continental,MR. AJIT SHARMA,JT. PRESIDENT (OPS),reservations.jvc@jaypeehotels.com,"011-26145959, 26148900",.,011-2614880,110057,DELHI,VASANT VIHAR,www.jaypeehotels.com
NEW DELHI,JANGBOGO TOUR INDIA PVT. LTD.,MR. SANTOSH KUMAR GUPTA,DIRECTOR,jangbogoind@gmail.com,.,0091 - 844 792 8555,0091-11- 49869667,110085,DELHI,"03RD FLOOR, C-9/116 SECTOR -8, ROHINI",WWW.JANGBOGOTOUR.IN
NEW DELHI,JASMINE TRAVELS PVT. LTD.,MR. AAKASH GUPTA,DIRECTOR,aakash@jasminetravels.com,,NULL,011-41764050-52,110017,DELHI,"N- BLOCK, G-10, SAKET",www.travelsindia.in
JAIPUR,JASBHAG TOURS & TRAVELS,MR. AMANDEEP SINGH,DIRECTOR,rajtours@gmail.com,,,"0141-2313714, 4126656",,RAJASTHAN,"209, ADARSH NAGAR, S. BHAG SINGH CROSSING",www.jasbhagtoursindia.com
VARANASI,JATAK TRAVELS,MR.SUSHIL K.SINGH,MANAGING DIRECTOR,md@jataktravel.com,0542-2282356,NULL,0542-2282354,,UTTAR PRASDESH,"JATAK HOUSE, 989/1, VARUNA VIHAR COLONY",www.jataktravel.com
NEW DELHI,JAI SHREE HOLIDAYS & TOURS P. LTD.,MR. AJAY AGGARWAL,MANAGING DIRECTOR,jaishreeholidays@gmail.com,011-47553742,,"011-27021659, 27021660, 2",,DELHI,"SHOP NO. 14, BLOCK A, DDA MARKET SARASWATI VIHAR, PITAMPURA",www.jaishreeholidays.com
RANCHI,JAI TRAVELS,MR.AJIT KUMAR BHAGAT,DIRECTOR,ajit@jaitravels.co.in,0651-2280873,NULL,0651-2284060/6574873,,JHARKHAND,"402, 4TH FLOOR, MODI HEIGHTS, RATU ROAD",www.jaitravels.co.in
JAIPUR,JAI SHIVSHANKAR TIRTH YATRA COMPANY,MR. VIRENDRA CHATURVEDI,MANAGER,info@jaishivshankartirthyatra.com,0141-2504511,+91-9414034101,0141-2504511/2504101,302015,RAJASTHAN,"D-19, 01ST FLOOR , POOJA TOWER, 80 FEET ROAD, MAHESH NAGAR",https://jaishivshankartirthyatra.com
JAIPUR,JAIPUR INN,WG.CDR. R.N. BHARGAVA,PRESIDENT,info@jaipurinn.com,,,"0141-2201121, 2204796 (M)",,RAJASTHAN,"B-17, SHIV MARG BANI PARK",www.jaipurinn.com
NEW DELHI,JAHNAVI HOLIDAY PVT. LTD.,MR. DEVENDRA PANDEY,DIRECTOR,info@jahnaviholiday.com,0091 -11 - 43011555,0091 - 99 11 727 888,0091 -11 - 43011555,110001,DELHI,"901, ARUNCHAL BUILDING, 19 BARAKHAMBHA ROAD",www.jahnaviholiday.com
MUMBAI,J.V. TRAVELS (P) LTD.,MR. S.A.SHETTY,MANAGING DIRECTOR,jvall@jvtravels.com,022-26743286,,022-42105959,,MAHARASHTRA,"503, MORYA LANDMARK II, OFF NEW LINK ROAD, ANDHERI (WEST)",www.jvtravels.com
BANGALORE,J.V. TRAVELS (P) LTD.,MR. S.A. SHETTY,M.D.,jvtravels@vsnl.net,080-23311011,.,080-23311796/23312331,,KARNATAKA,"24/1A, MARGOSA ROAD, MALLESWARAM",www.jvtravels@com
MUMBAI,J.M.MEHTA TRAVEL & TOUR CO. PVT. LTD.,MR.RAVINDER KUMAR SHARMA,EXECUTIVE DIR,travel@vsnl.com,022-26654545,#ERROR!,"022-26666565, 26655051",,MAHARASHTRA,"34-38, OASIS, NEHRU ROAD,VAKOLA, SANTACRUZ (E)",www.jmmtravelindia.com
MUMBAI,ITTR TRAVEL SERVICES PVT. LTD.,MR. VERNON D'CRUZ,MG. DIRECTOR,ittrtours@gmail.com,022-26614505,,"022-2614446, 26614486, 26",,MAHARASHTRA,"C-1/2, KHIRANAGAR, S.V. ROAD SANTA CRUZ (W)",www.ittrholidays.com
THANE(WEST),ISHA TOURS,MR.ATMARAM PARAB,PROPRIETOR,info@ishatour.net,,,"022-25437417, 25437458",,MAHARASHTRA,"1 A, MURLIDHAR CHS, BEHIND GODBOLE HOSPITAL,BRAHMAN SOCIETY,NAUPADA",
MUMBAI,ITL TOURS AND TRAVELS,MR.P.A. ABOOBACKER,CMD,itltravels@itltravel.com,022-22658013,,"022-22695555, 22660025-26",,MAHARASHTRA,"10, NAZMI BLDG, RAGHUNATH DADAJI STREET NEAR OLD HANDLOOM HOUSE, FORT",www.itltravels.com
NEW DELHI,ITC LTD.-HOTELS DIVISION,MR.ABHINASH MANGHANI,HEAD-LEISURE SALES,abhinash.manghani@itchotels.in,011-26145372,,"011-46015205, 46015206",,DELHI,"25, BASANT LOK, VASANT VIHAR",www.welcomgroup.com
NEW DELHI,IRIS VACATIONS PVT. LTD.,MR. ASHOOR HUSAIN,DIRECTOR,mukesh.gupta@irisvacations.in,.,0091- 85 88 879 991,0091-11-43494949,110066,DELHI,"04TH FLOOR, 430, ANSAL CHAMBER -2, 6 BHIKAJI CAMA PLACE",www.irisvacatins.in
KOCHI,INTERSIGHT TOURS & TRAVELS (P) LTD.,MR. ABRAHAM GEORGE,MANAGING DIRECTOR,md@intersight.in,0484-2389022,"09349757004, 09349757005","0484-4056222, 4056211",,KERALA,"ANNA BUILDING, NH BYPASS ROAD, THYKOODAM VYTTILA",www.intersighttours.com
NEW DELHI,ISG CAR & BUS CO.,MR. PRADEEP M. GOEL,CHIEF EXECUTIVE,isgcarbus@gmail.com,011-24354918,,"011-24359139, 0807,450697",,DELHI,"16,SUNDER NAGAR MARKET",www.carbusrentalindia.com
GURGAON,INTERNATIONAL VENTURES & TRAVEL (INDIA) PVT. LTD.,MR.RAJNISH KAPOOR,PRESIDENT,mail@ivatindia.com,0124-4017842,,0124-4017841/ 4017851/401,,HARYANA,"38, AKASH NEEM MARG DLF CITY, PHASE-II",www.ivatindia.com
ALUVA,INTERNATIONAL PILGRIMAGE REVOLUTION PVT. LTD.,MR. RENS MANUEL,DIRECTOR,info@gowithipr.com,.,.,0484-2626205,683101,KERALA,"VII/568, KAP COMMERCIAL CENTRE, RSS ROAD",www.gowithipr.com
KOLKATA,INTERLINK TRAVEL & TOURS PVT. LTD,MR. SMARAJIT BANERJEE,BUSINESS HEAD,info@interlinktravels.com,033- 22263548,NULL,033-22263545-617,700016,WEST BENGAL,"MANSAROVAR, BLOCK-B, 3B,",www.interlinktravels.com
JAIPUR,INTERACTIVE TOURS TO INDIA (P) LTD.,MR.DILIP CHAUHAN,DIRECTOR,dilip@asiaexperience.com,0141-4009233,,0141- 5179233/4009233,,RAJASTHAN,"F-6, RAMAAYAN APARTMENT, 532-A, NEMI SAGAR COLONY, VAISHALI NAGAR",www.asiaexperience.com
NEW DELHI,INTERNATIONAL TRAVEL HOUSE LTD.,MR. JEHANGIR J. GHADIALI,M.D.,travelhouse@ith.co.in,011-26014550/26011543,,011-26017808/46015910,,DELHI,"T-2, COMMUNITY CENTRE SHEIKH SARAI,PHASE-I",www.travelhouseindia.com
GURGAON,INTEGRATED HOTELS & TRAVELS,MR.RISHIKESH SINGH,MANAGING DIRECTOR,intergratedhotels@gmail.com,.,.,0091-124-4763763,122018,HARYANA,"UNIT NO. 118 TOWER D, JMD MEGAPOLIS, SECTOR-48, SOHNA ROAD",www.integratedhotels.in
BHUBANESWAR,INSIGHT VACATIONS PVT. LTD.,MR. SUSANTA KUMAR SATAPATHY,MANAGING DIRECTOR,sales@insightvacations.in,0674-234058,+91 9337041587,0674-6571587/2340587,751002,ODISHA,"PLOT NO. 2049, SAMANTARAPUR SQUARE, TEMPLE ROAD",www.insightvacations.in
GURGAON,INSPIRATION INDIA (A UNIT OF BLUE ELEPHANT TOURS OPC PVT. LTD.),MR. ANUP NAIR,MANAGING DIRECTOR,mail@inspirationindia.travel,.,.,0091 - 124- 4540910/14,122002,HARYANA,"#12, FIRST FLOOR, MGF, MEGA CITY MALL, MG ROAD",www.inspirationindia.travel
NEW DELHI,INSIDE INDIA HOLIDAYS PVT. LTD.,MR.ARVIND KUMAR ARYA,MANAGING DIRECTOR,insideindiaholidays@gmail.com,.,0091 - 9643536891,011 - 65022446 / 49025425,110034,DELHI,"SHOP NO-117, MP BLOCK, MP MALL, NEAR GOPAL MANDIR, PITAMPURA",http://www.insideindiaholidays.com
NEW DELHI,INSIGHT INDIA VOYAGE,MR.RAHUL BALONI,PROPRIETOR,dinesh@insightindiavoyage.com,011-45537538,+91 +91 +91 9811774223,"011-45537561, 28033087",110075,DELHI,"306, KRISHNA TOWER-2, PLOT NO#1, POCKET NO.7, SECTOR-12,DWARKA",www.insightindiavoyage.com
NEW DELHI,INPAC TRAVELS (INDIA) PVT. LTD.,MR. NARESH K. SHARMA,DIRECTOR,inpacind@inpacindia.com,0091-11-26162149,.,0091-11-26174829 / 26181474,110066,DELHI,"SU 6,DDA BUILDING, BHIKAJI CAMA BHAWAN 11, BHIKAJI CAMA PLACE",www.inpactours.com
MUMBAI,INFINITI HOLIDAYS,MR. PRASHANT ANDHALKAR V,PROPRIETOR,infinitiholidays@yahoo.co.in,.,.,022—29679100,400067,MAHARASHTRA,"D-44, PLOT NO.160, VISHVESHWAR CHSL, SECTOR-1, BEHIND DENA BANK, CHARKOP, KANDIVALI (W)",www.infintiholidays.com
NEW DELHI,INPAC TOURS (P) LTD.,MR.K.L.BAHL,PRESIDENT,nks@inpacindia.com,"011-26186389,26162149",+91 9810027417,"011-26171442,26174829,261",110066,DELHI,"SU 5-6, DDA BUILDING 11 BHIKAJI CAMA PLACE",www.inpactours.com
BHUBANESWAR,INNER INDIA TOURS,MR. MAHESWAR MOHAPATRA,PROPRIETOR,intours8@gmail.com,.,9861081155,0674-2352292,751020,ODISHA,"PLOT NO.HIG B1-6, LINGARAJ VIHAR POKHRIPUT, AERODROME AREA",
NEW DELHI,INDUS HERITAGE (I) PVT. LTD.,MR. ASHOK TOPA,DIRECTOR,ashoktopa@indusheritage.net,011-26180024,.,011-26180027-28,110066,DELHI,"31-C, GROUND FLOOR , MOHAMMDPUR, NEAR AUGUST KRANTI BHAWAN , BHIKAJI CAMA PLACE",
NEW DELHI,INDUS TRAVEL COMPANY,MR. PUNIT BHASIN,MG. PARTNER,punit@industravelcompany.com,,,011- 29212737 (M) 9810009,110048,DELHI,"H-19, MASJID MOTH, GREATER KAILASH-2",www.industravelcompany.com
GHAZIABAD,INFINITE EXPEDITIONS PVT. LTD.,MR. MANOJ KUMAR,DIRECTOR,manoj@exoticindiantracks.com,.,0091 - 991 160 8001,0091 - 120-2820351-52 ,201001,UTTAR PRADESH,"306,3RD FLOOR, SUNDRAM ANSAL, BUILDING, RDC, RAJNAGAR",www.infiniteexpeditions.in
NEW DELHI,INDORAJ TOURS & TRAVELS,MR. RAJ BHALLA,BUSINESS HEAD,indorajtravel@yahoo.com,.,.,011- 64666208,110093,DELHI,"C-1116 LIG FLATS EAST LONI ROAD, SHAHDARA",www.indorajtravel.com
NEW DELHI,INDOVISION TOURS PVT. LTD.,MR. SUNIL YADAV,DIRECTOR,indovision@vsnl.com,011-26874283,,"011-26113920,26874411",,DELHI,"1, DDA COMMERCIAL PLAZA NANAKPURA, MOTI BAGH -2",www.eholidaysindia.com
JABALPUR,INDUS EXCURSION,MR. SHANKER PRASAD DUBEY,M.D.,info@indusexcursion.com,0761-2647065,0091 - 9425412741,0761 -4006070,482002,MADHYA PRADESH,"C-3, KACHNAR CITY",
GURGAON,INDUS DISCOVERIES (P) LTD.,MR. YASIN M. ZARGAR,MANAGING DIRECTOR,enquiries@indusdiscoveries.com,.,.,"0124 - 4361906, 4361907",122001,HARYANA,"30, JMD GALLERIA, SOHNA ROAD",www.indusdiscoveries.com
JAIPUR,INDO VACATIONS,MR. SANJEEV MINGLANI,PROPRIETOR,info@indovacations.net,0141-2622098,,0141-2622098,,RAJASTHAN,"312/06, PUSHPAWALI, VALMIKI MARG RAJA PARK",www.indovacations.net
NEW DELHI,INDO JOURNEYS (P) LTD.,MR. HEERA  LOHIA,MANAGING DIRECTOR,indojourneys@vsnl.net,011-26893455,,011-26121294/95,,DELHI,"3, GANGOTRI BHAWAN, 111/9, KISHAN GARH ARUNA ASAF ALI MARG, VASANT KUNJ",www.indojourneys.com
BANGALORE,INDO ASIA TOURS (A DIVISION OF INDO ASIA LEISURE SERVICES LTD.),MR. SUROJEET GHOSH,,iatblr@eth.net,080-25227108,.,080-25224695/25224327,,KARNATAKA,"102, SKYLARK RESIDENCY, WIND TUNNEL ROAD MURGESHPALAYA",
Gurugram,INDO ASIA TOURS (A DIVISION OF INDO ASIA LEISURE SERVICES LTD.),Mr. Sunirmol Ghosh,Director,ecommerce@indoasiatours.com,0124-4534585,+91 +91 +91 +91 +91 0124-4534500,0124-4534500,122002,Haryana,"56, Institutional Area, Sector 44",www.indoasia-tours.com
CHENNAI,INDO ASIA TOURS (A DIVISION OF INDO ASIA LEISURE SERVICES LTD.),MR. K. RAVI PRASAD,,sales.maai@indoasiaholidays.com,044-28152313,.,044-28152473,,TAMIL NADU,"1K, MANDIRA APARTMENTS, 23-D, NORTH BOAG ROAD, T. NAGAR",
KOLKATA,INDO ASIA TOURS (A DIVISION OF INDO ASIA LEISURE SERVICES LTD.),MR. AMITAVA PAL,MR. SAURABH DASS,sales.cc41@indoasiaholidays.com,033-22521941,.,033-22521939/22521940,,WEST BENGAL,"CHOWRINGHEE LANE, 9J, DIAMOND CHAMBERS 9TH FLOOR, BLOCK II",www.indoasiaholidays.com
NEW DELHI,INDIANA TRAVELS (P) LTD.,MR. DARSHAN S. BHALLA,CHAIRMAN,indianain@indiananetwork.com,,,011-24671990/24671991/246,,DELHI,"124, YASHWANT PLACE CHANAKYAPURI",www.indiananetwork.com
NEW DELHI,INDIRA GANDHI NATIONAL OPEN UNIVERSITY,PROF.KAPIL KUMAR,DIRECTOR,sothsm@ignou.ac.in,011-29534451,.,011-29571753,,DELHI,"ROOM #12, BLOCK# 01, SOTHSM, IGNOU MAIDAN GARHI",www.ignou.ac.in
NEW DELHI,INDICA TRAVELS & TOURS PVT. LTD.,MR.SHIBAN KOTRU,PRESIDENT,mail@indicatravels.com,011-41640210,9350577666,"011-46010103, 46010107, 4",,DELHI,"D-52, GROUND FLOOR NDSE PART-I",www.uniglobeindicatravel.in
GURGAON,INDIAN TRAVEL PROMOTION CO.PVT. LTD,MR. TONY MARWAH,C.E.O,info@indiantravelpromotion.com,0124-4785950 & 51,9810170671,"0124-4785900 (100 LINES),",,HARYANA,"GLOBAL CENTER,  327, UDYOG VIHAR PHASE-II",www.indiantravelpromotion.com
GURGAON,INDIAN VISTAS,MS. MONA KAPOOR,OWNER & CEO,mona@indianvistas.in,,NULL,0124-4255066,122018,HARYANA,"310, TOWER C, NIRVANA COURTYARD, SECTOR-50",www.indianvistas.in
NEW DELHI,INDIAN ZING TOURS PVT. LTD.,MR. CHANDER KISHORE AHUJA,DIRECTOR,info@indianzing.in,.,.,011-45535153/ 45545150,110075,DELHI,"S2-S3, MALIK BUILDCON PLAZA-1, PLOT NO.2, POCKET-6, SECTOR-12, DWARKA",www.indianzing.in
JAIPUR,INDIAN RIDES PVT. LTD.,MR. NARENDRA SINGH NIRVAN,DIRECTOR,naren@indianrides.com,.,.,0091 -141-4022336,302021,RAJASTHAN,"E-52, AMRAPALI MARG, VAISHALI NAGAR",www.indianrides.fr
NOIDA,INDIAN TRAILS SOURCING SERVICES PVT. LTD.,MR.DANISH JAMIL,MANAGING DIRECTOR,accounts@divaindia.in,0120-2420241,+91 9811008800,0120-4208681/9999200611,201301,UTTAR PRADESH,"D-45, IST FLOOR, SECTOR-6",www.divaindia.in
TRICHY,INDIAN PANORAMA,MS.C. MYTHILY,MANAGER - BUSINESS DEV.,cm@indianpanorama.org,0431-2432874,.,0431-4226111,,TAMIL NADU,"5, ANNAI AVENUE, VASANTH NAGAR EXTENSION KOLLIDAKARAI, SRIRANGAM",www.indianpanorama.org
KOLKATA,INDIAN TOURISM (P) LTD.,MR. SUBHAMAY BANERJEE,DIRECTOR,tour@theindiantourism.com,033-23521817,.,033-23510248,,WEST BENGAL,"3/1A, SASTHITALA ROAD",www.theindiantourism.com
MUMBAI,INDIAN OVERSEAS TRAVELS AND TOUR PVT LTD,MR. J.N. SHETTY,CMD,seema@indianoverseas.com,022-26821296,,"022-26849293,26849294-99",,MAHARASHTRA,"VIMAN DARSHAN, SWAMI NITYANAND ROAD OPP: BAHAR CINEMA, ANDHERI (E)",www.indianoverseas.com
DELHI,INDIAN NATURE TOURS,MR. MANOJ SHARMA,C.E.O.,manoj@indiannaturetours.com,011-22231216,,"011-65969433, 26963074 (M",,DELHI,"A-105, NARWANA APARTMENTS 89, I.P. EXTENSION",www.indiannaturetours.com
NEW DELHI,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LTD.,MR.SANJAY GOEL,GROUP G.M.(TOURISM &MKTG),ggmtm@irctc.com,,,011-23319808,,DELHI,"9TH FLOOR, BANK OF BARODA BUILDING, 16TH PARLIAMENT STREET",www.railtourismindia.com
NEW DELHI,INDIAN JOURNEY,MR. PARVEZ KHAN,C.E.O,info@indianjourney.com,011- 25540785,0091 - 9958130786,011- 25540786,110 058,DELHI,"104, FIRST FLOOR, KIRTI SHIKHAR BUILDING, JANAKPURI, DISTRICT CENTRE",www.indianjourney.com
NEW DELHI,INDIAN LEGENDS HOLIDAYS PVT. LTD.,MR.RAVINDER KUMAR,MANAGING DIRECTOR,info@indianlegends.co.in,011-40783333,0.9910664442,011-40783300 (100 LINES),,DELHI,"2, OBEROI HOUSE, 1ST FLOOR, LOCAL SHOPPING COMPLEX, KARAMPURA",www.indianlegendsholidays.com
NEW DELHI,INDIAN HOLIDAY PVT. LTD.,MR. RAHUL SHARMA,MANAGING DIRECTOR,sales@indianholiday.com,011-42423131,+91 919811652266,011-42423100 (MULTI LINES,110001,DELHI,"70, LGF, WORLD TRADE CENTRE BARAKHAMBA LANE",www.indianholiday.com
BHUBANESWAR,"INDIAN INSTITUTE OF TOURISM & TRAVEL MANAGEMENT, BHUBANESWAR",DR. SARAT KUMAR LENKA,NODAL OFFICER,iittmb@gmail.com,0674-247201,.,0674-2472014-16,,ODISHA,DUMUDUMA,www.iittm.org
GWALIOR,"INDIAN INSTITUTE OF TOURISM & TRAVEL MANAGEMENT, GWALIOR",PROF.(DR.) SANDEEP KULSHRESHTHA,DIRECTOR,iittm@sancharnet.in,0751-2344054,.,0751-2437300,,MADHYA PRADESH,GOVINDPURI,www.iittm.org
NEW DELHI,INDIAN HOLIDAY SERVICES,MR. RAJIV SHARMA,PROPRIETOR,indianholidays3@gmail.com,0091-11-28750483,0091- 98109 43863,0091- 11-47070333,110005,DELHI,"203, 98/71, SHIVAJI STREET, HARDHYAN SINGH ROAD, KAROL BAGH",www.indianholidaysservices.com
GURGAON,INDIA VOYAGE TRAVEL PUNDITS (P) LTD.,MR. TARUN TANEJA   ,DIRECTOR,tarun@indiatravelpundits.com,.,.,0091- 124- 4203858 / 4203868,122002,HARYANA,"419, 4TH FLOOR, QUTAB PLAZA, DLF CITY PHASE-I",www.indiatravelpundits.com
NEW DELHI,INDIAN ATMOSPHERE TOURS (P) LTD.,MR. SUMITRA ROY,DIRECTOR,indianatmosphere@airtelmail.in,011-40540229,,011-41402476/40541906,,DELHI,"D-168, SARITA VIHAR",www.indianatmosphere.com
JABALPUR,INDIAN EXCURSION,MR. VISHAL BHASIN,C.E.O.,info@letstourindia.com,0761-4004837,+91-942 532 3214,0761 - 4004836 / 4004837,4004836,MADHYA PRADESH,"S-4, 2ND FLOOR, JAIN TOWERS RUSSEL SQUARE",www.letstourindia.com
MUMBAI,INDIA TRAVEL SERVICES,MR.AZIZ A.SHAIKH,PROPRIETOR,aziz@tour-india.net,022-28371246,,022-28380044/55,,MAHARASHTRA,"A-9, SANKALP, OFF SAHAR AIRPORT ROAD, NR HOTEL LEELA MAROL, ANDHERI (EAST)",www.tour-india.net
NEW DELHI,INDIA VISION TOURS & TRAVELS,MR. VIJAY THAKUR,PRESIDENT,tours@invisionmail.com,.,.,011 – 47532450 / 2460,110008,DELHI,"ROOM 309, 8, DEEP SHIKHA BUILDING RAJENDRA PLACE",www.indiavisiontours.com
NEW DELHI,INDIA TRAVEL ORGANIZERS,MR. MUDASIR SHAFI BURZA,PROPRIETOR,ind.travelorg@gmail.com,.,0091 - 98 73 430 810,0091 -11- 47702132,110005,DELHI,"6A/70, W.E.A.,CHANNA MARKET,KAROL BAGH",www.indiatravelorganizers.com
NEW DELHI,INDIA TOURISM DEVELOPMENT CORP.LTD.,MS. RAVNEET KAUR,CMD,cmd@theashokgroup.com,.,.,011- 24360182/24360185,110003,DELHI,"SCOPE COMPLEX, CORE 8, 6th FLOOR 7, LODHI ROAD",www.theashokgroup.com
NOIDA,INDIA TRAVEL BOUTIQUE (A UNIT OF HERITAGE EVENT SERVICES (P) LTD.),MR. RAKESH TIWARI,MANAGING DIRECTOR,rakesh@itbindia.com,,NULL,9825097996,201301,UTTAR PRADESH,"E 1,  LIFE CARE BUILDING (3RD FLOOR) SECTOR-61",www.itbindia.com
GURGAON,INDIA TOURS & TRAVELS,MR.KIRIT SINGH RATHORE,PROPRIETOR,kirit@indiatoursandtravels.com,,,0124-4043558/4043559,,HARYANA,"117 FIRST FLOOR, SUSHANT PLAZA, A BLOCK SUSHANT LOK-I",www.indiatoursandtravels.com
NEW DELHI,INDIA NOW JOURNEYS PVT. LTD.,MR.PRABHAT MEHRA,DIRECTOR,prabhat@indianowjourneys.com,,.,011-28525066 (M) 98100663,,DELHI,"51, CHARAK SADAN, VIKAS PURI",www.indianowjourneys.com
GOA,INDIA INVITES,MS. NILITA COELHO,PROPRIETOR,pmaurya@indiainvites.com,0832-2713421,9326113063,"0832-2715781, (M) 9326113",,GOA,"SHOP NO. 1, FLAT 3, COELHO APARTMENT AQUEM ALTO, MARGAO",www.indiainvites.com
NEW DELHI,INDIA REISEBUERO PVT. LTD.,MR. HARISH,DIRECTOR,harish@indiareisebuero.com,,NULL,011-28082143,110075,DELHI,"S-208, ARJUN PLAZA, PLOT NO.7, SECTOR-5 DWARKA",www.indiareisebuero.com
NEW DELHI,INDIA SAFARI & TOURS P. LTD.,MR. SUHAIL GUPTA,CEO,suhail.gupta@indiasafaris.com,011-46269001,,011-462690000,,DELHI,"11, COMMUNITY CENTRE, 2ND FLOOR, EAST OF KAILASH",
NEW DELHI,INDIA FULL CIRCLE TOURS,MR.D .ARUN kUMAR,CHIEF EXECUTIVE,mktg@indiafullcircle.com,,,011-25336283 (M)981162414,,DELHI,"C-699, IIND FLOOR, RAMPHAL CHOWK, SECTOR-7 DWARKA",www.indiafullcircle.com
GURGAON,INDIA INSIGHT TOURS PVT. LTD.,MR. VISHWAS MAKHIJA,DIRECTOR,vishwas@indiainsighttours.com,0124-2383953,+91 0091 9810246872,0124-4114552-54,122001,HARYANA,98-P (BASEMENT & G.F.) SECTOR -30,www.indiainsighttours.com
NEW DELHI,INDIA INTERNATIONAL TOURS N TRAVELS (DIVISION OF ROYAL PLANNERS PVT. LTD.),MR. RAJESH ARYA,DIRECTOR,raj2007arya@gmail.com,011-41541700-800,.,011-41541700-800,110055,DELHI,"150, AMRIT KAUR MARKET, PAHAR GANJ",www.indiainternationaltravel.com
New Delhi,India Calling Tours Pvt. Ltd.,Mr. Amit Dhir,Managing Director,holiday@triptoindia.com,0091-11-23340306,0091- 9811086877,0091- 011-23344657,110001,Delhi,"3, Commercial Complex, Hanuman Road,Connaught Place",www.triptoindia.com
NEW DELHI,INDIA DISCOVERY TOURS,MR. SHASHI KAPOOR,PROPRIETOR,indiadiscoverytour@hotmail.com,.,0091-9810024692,"011-42412002, 42411009",110008,DELHI,"11/27, 1st FLOOR WEST PATEL NAGAR",www.indiadiscoverytour.com
NEW DELHI,INDIA EXOTICA TRAVELS PVT. LTD.,MRS. VANDANA SHARMA,DIRECTOR,vandana@indiaexotica.in,.,.,011-24042440,110075,DELHI,"240, VARDHAMAN CROWN MALL, SECTOR-19, DWARKA",www.indiaexotica.in
HARIDWAR,INDIA EASY TRIP PVT. LTD.,MR. SUNIL KUMAR SAINI,DIRECTOR,indiaeasytrip@gmail.com,.,9758900888,01334-326265,249402,UTTRAKHAND,"NEAR NARAYANI SHILA TEMPLE, DEVPURA",www.indiaeasytrip.com
JAIPUR,INCREDIBLE REAL INDIA TOURS & TRAVELS PVT. LTD.,MR.RAJENDRA SINGH PALAWAT,DIRECTOR,accounts@incrediblerealindia.com,,,0141-4004969,,RAJASTHAN,"98, MEMI NAGAR EXTENSION, VAISHALI NAGAR",www.incrediblerealindia.com
GURGAON,INCREDIBLE VOYAGES PVT. LTD.,MR.MUNISH ABROL,DIRECTOR,munish@incrediblevoyages.co.in,0124-4833799,+91-9958597852,0124- 4833701,122002,HARYANA,"C-1810, SUSHANT LOK -1, NEAR PEACH TREE COMPLEX,",www.incrediblevoyages.co.in
JAIPUR,INCREDIBLE INDIAN MOMENTS PVT. LTD.,MR. PANKAJ SHARMA,CEO,info@indianmoments.com,.,+91 0091- 141-2337137,"0141-2339668, 2336036",302023,RAJASTHAN,"S-207, TIME SQUARE, CENTRAL SPINE, VIDHYADHAR NAGAR",www.indianmoments.com
NEW DELHI,INDEBO (INDIA) PVT. LTD.,COL. R.RAMASWAMI,MANAGING DIRECTOR,india@indebo.com,011-47165550,#ERROR!,011-47165500,110016,DELHI,"116-117, AUROBINDO PLACE HAUZ KHAS",www.indebo.com
NEW DELHI,INCREDIBLE DESTINATION MANAGEMENT SERVICES PVT. LTD.,MR. VISHAL YADAV,DIRECTOR,info@idms.co.in,011-24109071,NULL,011-65151515,110021,DELHI,282 FIRST FLOOR SATYA NIKETAN,www.idms.co.in
DELHI,INCREDIBLE HOLIDAYS PVT. LTD,MR. SANDEEP MATHUR,DIRECTOR,incredibleindiaholidays@yahoo.com,0120 - 4282072,+91 .,"011-42427010, 42427020",110092,DELHI,"C-20, ANAND VIHAR,",www.incredibleholidaysindia.com
NEW DELHI,INCENTIVE DESTINATIONS PVT. LTD.,MR. ANUP NAIR,MANAGING DIRECTOR,mail@incentive-destinations.com,011-29213222,9811141569,011-40549888,,DELHI,"M-10, GREATER KAILASH-II (MARKET)",www.incentive-destinations.com
NEW DELHI,INCREDIBLE DESIGN,MR. SANJAY SONI,SOLE PROPRIETOR,sanjay@sanjaysoni.in,,,"011-28114886,45781190",,DELHI,"B-143, IST FLOOR,MAYAPURI INDUSTRIAL AREA, PHASE-I",www.incredibledesign.in
KOLKATA,IMPRESSION TOURISM SERVICES (INDIA) PVT. LTD.,MR.DEBJIT DUTTA,DIRECTOR & CEO,mail@itsindia.in,033-40015191,#ERROR!,033-40015190 (M) 98300217,,WEST BENGAL,"FLAT NO.34, 3RD FLOOR, 22, ASHUTOSH CHOWDHURY AVENUE",www.itsindia.in
NEW DELHI,INCREDIBLE DESTINATION MANAGEMENT,MR.VISHAL YADAV,/MR.RAJIV KATARIA (DIRS),info@idms.co.in,011-24109071,,011-65151515,110021,DELHI,"282,FIRST FLOOR, SATYA NIKETAN",www.idms.co.in
NEW DELHI,IMPACT HOLIDAYS PRIVATE LTD.,MR. JATINDER KUMAR DHINGRA,M.D.,impactholidays1@gmail.com,,,"011-42502442, 42503220, 2",,DELHI,"SUITE NO 103, ROYAL CHAMBER 12/14, W.E.A.,SARASWATI MARG, KAROL BAGH",www.impactholidays.com
